cohort_year,mpe_2018,mpe_2019,mpe_2020,mpe_2021,mlpe_2018,mlpe_2019,mlpe_2020,mlpe_2021
-Inf,127.2655140111086,95.22756313326725,NA,86.4594358430534,4.364274465382348,4.094628305800092,NA,3.9276046003682343
2019,115.20680585382608,85.49157529868963,NA,76.56612215042114,4.242423791703066,3.7849411795702332,NA,3.724129147906848
2020,93.17132271,122.19432820908197,NA,96.86050639070318,4.135328869842794,4.377099930485125,NA,3.7150068877723457
2021,77.76641473714287,93.235988037,NA,61.353989639282226,3.893840506318275,4.159081442455889,NA,3.699171209219433
