hh_id,ptc_id,wave,wealth_index
HH20180140,PT2018014000,1,-0.8817494635455945
HH20180162,PT2018016200,1,-5.265858533964491
HH20180196,PT2018019600,1,-1.520305142771493
HH20180198,PT2018019800,1,-2.4017501037133973
HH20180200,PT2018020000,1,0.5730910767387478
HH20180208,PT2018020800,1,-0.13963636975635135
HH20180220,PT2018022000,1,-1.7125557443098876
HH20180230,PT2018023000,1,-4.4611490835668
HH20180234,PT2018023400,1,-5.599842119006162
HH20180240,PT2018024000,1,-1.6649114179972306
HH20180243,PT2018024300,1,1.9168803837206807
HH20180253,PT2018025300,1,-1.3080811525511822
HH20180260,PT2018026000,1,-1.0925814593274912
HH20180263,PT2018026300,1,-3.0368862080141223
HH20180293,PT2018029300,1,-3.717067143240101
HH20180168,PT2018016800,1,0.7125508116578763
HH20180224,PT2018022400,1,-5.78193217649558
HH20180290,PT2018029000,1,-0.15668795648854034
HH20180701,PT2018070100,1,-5.161181513674095
HH20180702,PT2018070200,1,7.375471833304272
HH20180703,PT2018070300,1,-4.5636324395832055
HH20180705,PT2018070500,1,-0.9290051811474161
HH20180749,PT2018074900,1,-4.593255254279633
HH20180750,PT2018075000,1,-1.9260707487900695
HH20180751,PT2018075100,1,-4.263319843826085
HH20180752,PT2018075200,1,-2.450054048603047
HH20181004,PT2018100400,1,-9.173172903022024
HH20181006,PT2018100600,1,-6.905073655938055
HH20181007,PT2018100700,1,3.0244552079692344
HH20181008,PT2018100800,1,0.09404956083510907
HH20181097,PT2018109700,1,0.019609930540227104
HH20181098,PT2018109800,1,-2.2914741680347896
HH20181099,PT2018109900,1,-4.315911338476558
HH20180101,PT2018010100,1,1.891951331880689
HH20180161,PT2018016100,1,-5.890132055050734
HH20180171,PT2018017100,1,0.25390051553338616
HH20180194,PT2018019400,1,-1.9113892379213089
HH20180214,PT2018021400,1,-7.810739835067453
HH20180707,PT2018070700,1,-2.0339114130069635
HH20180708,PT2018070800,1,-2.569297446133983
