ptc_key,wave,hh_id,ptc_id,out_temp_24h,out_dew_24h,rh_24h,out_temp_season,out_dew_season,rh_season
PT20180101001,1,HH20180101,PT2018010100,-4.05870536412875,-22.1472136631037,23.0433973545297,-0.38298314111922,-17.5900243309002,25.9936539496452
PT20180101002,2,HH20180101,PT2018010100,-0.733404256624009,-4.48127237150104,75.7497520363518,0.825692363961818,-11.9646778042959,37.8224481108284
PT20180102001,1,HH20180102,PT2018010200,0.991953034881311,-12.2051584355294,36.657688941054,-0.320804141119219,-17.5900243309002,25.8763697934859
PT20180102002,2,HH20180102,PT2018010200,-1.91614362925391,-16.1198619544805,32.8908143261403,0.879882863961818,-11.9646778042959,37.6751372912417
PT20180102004,4,HH20180102,PT2018010200,-4.06824016316627,-17.0141947313395,35.8193133369609,-0.74611152439024,-15.0607317073171,32.9537130750741
PT20180102012,2,HH20180102,PT2018010201,-0.334991203763487,-11.8600771582226,41.4833734534714,0.879882863961818,-11.9646778042959,37.6751372912417
PT20180103001,1,HH20180103,PT2018010300,-0.0766726282374067,-16.2436605015241,28.4568892123393,-1.24403814111922,-17.5900243309002,27.6801497688179
PT20180103002,2,HH20180103,PT2018010300,-4.0878565433441,-9.49852975738435,66.0128752390353,-0.128696136038182,-11.9646778042959,40.5248848961404
PT20180103004,4,HH20180103,PT2018010300,-5.09923419257548,-17.5688333512109,36.9489292641818,-1.69004152439024,-15.0607317073171,35.3129000639699
PT20180104001,1,HH20180104,PT2018010400,0.204106524291385,-11.719214574428,40.3447046362119,-0.10617414111922,-17.5900243309002,25.4760314797176
PT20180104002,2,HH20180104,PT2018010400,1.88729529897912,-11.5721757462542,36.169011708578,1.06929286396182,-11.9646778042959,37.1652460420058
PT20180104004,4,HH20180104,PT2018010400,-1.19058545937575,-19.5732505070636,23.2935708178123,-0.53705202439024,-15.0607317073171,32.4552691625014
PT20180105001,1,HH20180105,PT2018010500,0.118654721280752,-11.719280275015,40.5949446432269,-0.19675164111922,-17.5900243309002,25.6441338655837
PT20180106001,1,HH20180106,PT2018010600,-6.1754234291362,-17.842886760286,39.1817708041228,-0.0268611411192197,-17.5900243309002,25.3298419589165
PT20180106002,2,HH20180106,PT2018010600,-1.69940457757792,-15.072461794526,35.3030760029411,1.17026386396182,-11.9646778042959,36.8965768861585
PT20180106004,4,HH20180106,PT2018010600,-1.11235565167726,-17.6660625207702,27.2393442719271,-0.44414102439024,-15.0607317073171,32.2364473386684
PT20180107001,1,HH20180107,PT2018010700,0.839714559658419,-14.9147954132236,29.7302341268416,0.12921685888078,-17.5900243309002,25.0448791070031
PT20180107002,2,HH20180107,PT2018010700,-0.768362322547567,-18.5807293802915,24.5833878733608,1.33282236396182,-11.9646778042959,36.46856621798
PT20180107014,4,HH20180107,PT2018010701,-1.11352508302858,-17.5027867544755,27.6191017376559,-0.34601052439024,-15.0607317073171,32.0071144926452
PT20180108001,1,HH20180108,PT2018010800,-3.35963160843271,-10.7063283827565,56.8281816196373,-2.74034464111922,-17.5900243309002,30.9084056707989
PT20180108002,2,HH20180108,PT2018010800,-7.39387801929449,-12.9480101538516,64.4813198603855,-1.53738263603818,-11.9646778042959,44.9152529546427
PT20180108004,4,HH20180108,PT2018010800,-6.39567329371666,-17.6153137259297,40.6194084073704,-3.18039402439024,-15.0607317073171,39.430002559207
PT20180109001,1,HH20180109,PT2018010900,-0.00813718502336527,-16.2443450304359,28.3141427653494,-1.17643814111922,-17.5900243309002,27.5434311156069
PT20180109002,2,HH20180109,PT2018010900,-3.91524971345778,-9.50312330513198,65.140675735403,0.043514863961818,-11.9646778042959,40.0217593770867
PT20180110001,1,HH20180110,PT2018011000,-3.33284424418056,-10.7053454021012,56.7192214004096,-2.71312264111922,-17.5900243309002,30.8460595205119
PT20180110002,2,HH20180110,PT2018011000,-7.36274062196714,-12.9458605926687,64.3378322441668,-1.50554563603818,-11.9646778042959,44.8103653051504
PT20180110004,4,HH20180110,PT2018011000,-6.3422698581614,-17.6133358755535,40.4606020905892,-3.12663902439024,-15.0607317073171,39.2725417803951
PT20180111001,1,HH20180111,PT2018011100,-2.73386008717877,-11.6882534257156,50.1610885500045,-1.78351180106316,-18.7768999484024,26.0436631796927
PT20180111002,2,HH20180111,PT2018011100,-5.3145622536392,-13.4460746726617,52.8253767144205,-1.31936656958168,-12.5373174492525,42.2129301772984
PT20180111004,4,HH20180111,PT2018011100,-10.9180522548025,-27.1301701743196,25.0157575371802,-2.87718097725106,-16.3652921242103,34.5996395356083
PT20180112001,1,HH20180112,PT2018011200,1.03462111260297,-12.2053389930152,36.544843021686,-0.27809914111922,-17.5900243309002,25.7961594585819
PT20180112011,1,HH20180112,PT2018011201,1.03462111260297,-12.2053389930152,36.544843021686,-0.27809914111922,-17.5900243309002,25.7961594585819
PT20180112012,2,HH20180112,PT2018011201,-1.8876780987869901,-16.1199133772272,32.8217747686144,0.909574863961818,-11.9646778042959,37.5946939969768
PT20180112014,4,HH20180112,PT2018011201,-4.99404304726872,-15.3993972843625,43.9317548833479,-0.72154802439024,-15.0607317073171,32.8947088047156
PT20180112022,2,HH20180112,PT2018011202,-0.304805068192115,-11.861176576547,41.3887766069723,0.909574863961818,-11.9646778042959,37.5946939969768
PT20180113001,1,HH20180113,PT2018011300,-6.20281210209532,-17.8480567451108,39.2466569103156,-0.0555326411192196,-17.5900243309002,25.3825811226319
PT20180113002,2,HH20180113,PT2018011300,-1.72590926684496,-15.0799840900153,35.3500398826182,1.14064336396182,-11.9646778042959,36.97516779617
