"ptc_key","wave","hh_id","ptc_id","outdoor_temp_idw","outdoor_dew_idw","RH"
"PT20180134001",1,"HH20180134","PT2018013400",2.62838464285714,-14.1395433221432,27.8791114376581
"PT20180134002",2,"HH20180134","PT2018013400",-4.02292861567961,-14.5387222611265,43.8337023403391
"PT20180134004",4,"HH20180134","PT2018013400",-4.64952941527558,-13.9891922434548,48.0616750436705
"PT20180136001",1,"HH20180136","PT2018013600",-0.308000863051996,-16.2408353331318,28.9458782551332
"PT20180136004",4,"HH20180136","PT2018013600",-5.28946804189455,-17.5477689266169,37.5516045794257
"PT20180136011",1,"HH20180136","PT2018013601",-0.308000863051996,-16.2408353331318,28.9458782551332
"PT20180137001",1,"HH20180137","PT2018013700",-6.1838396497418,-17.8440183432367,39.2032097668261
"PT20180137002",2,"HH20180137","PT2018013700",-1.70746475331627,-15.0739992371634,35.3195335674177
"PT20180138001",1,"HH20180138","PT2018013800",0.990115747582052,-12.2071183673204,36.6567577407734
"PT20180138002",2,"HH20180138","PT2018013800",-0.339294177366253,-11.8616246575537,41.4912096052476
"PT20180139001",1,"HH20180139","PT2018013900",0.00962622195875307,-16.2449720889202,28.2762160115759
"PT20180139002",2,"HH20180139","PT2018013900",-3.91324971186696,-9.50453331326461,65.1237043006828
"PT20180139004",4,"HH20180139","PT2018013900",-5.0017623897989,-17.5684545719514,36.678723295265
"PT20180140001",1,"HH20180140","PT2018014000",0.985126043259143,-12.2106989960794,36.659362937402
"PT20180140012",2,"HH20180140","PT2018014001",-1.93370558955694,-16.1200475027702,32.9328939446092
"PT20180140014",4,"HH20180140","PT2018014001",-5.02533845334861,-15.4113708789183,43.9922566146653
"PT20180143001",1,"HH20180143","PT2018014300",2.72871864285714,-14.1415135971036,27.6769043338173
"PT20180143002",2,"HH20180143","PT2018014300",-3.92194794309539,-14.547621706623,43.4714516858108
"PT20180143004",4,"HH20180143","PT2018014300",-4.5488901667915,-14.0031088627803,47.644454451978
"PT20180143012",2,"HH20180143","PT2018014301",-3.92194794309539,-14.547621706623,43.4714516858108
"PT20180144001",1,"HH20180144","PT2018014400",2.64472564285714,-14.140031761942,27.8456858805243
"PT20180144002",2,"HH20180144","PT2018014400",-4.00760602007123,-14.5405083921016,43.7769586414114
"PT20180144004",4,"HH20180144","PT2018014400",-4.63353613649984,-13.9924614904788,47.9909636344613
"PT20180146001",1,"HH20180146","PT2018014600",-0.178884471424765,-16.2436704951645,28.6688034650082
"PT20180146002",2,"HH20180146","PT2018014600",-4.10804985472632,-9.50142155472838,66.0979506187858
"PT20180147001",1,"HH20180147","PT2018014700",-6.16828302650019,-17.843476784804,39.1584650794246
"PT20180147012",2,"HH20180147","PT2018014701",-1.69896231869257,-15.0726507297698,35.3013780218675
"PT20180147014",4,"HH20180147","PT2018014701",-1.11506168231452,-17.6669997035376,27.2425863076872
"PT20180148001",1,"HH20180148","PT2018014800",-3.3610217435862,-10.7060657292361,56.8352572213983
"PT20180148002",2,"HH20180148","PT2018014800",-7.40373261115612,-12.9470497010716,64.5353737791838
"PT20180148004",4,"HH20180148","PT2018014800",-6.40307768692117,-17.6129683454633,40.6504573788253
"PT20180149001",1,"HH20180149","PT2018014900",0.0148775767667057,-16.2445768270861,28.2663813614353
"PT20180149002",2,"HH20180149","PT2018014900",-3.91488542490397,-9.50418269540344,65.1334783617418
"PT20180149004",4,"HH20180149","PT2018014900",-4.96249766593883,-17.5717126316726,36.5599889564702
"PT20180152001",1,"HH20180152","PT2018015200",-8.26226254282567,-19.2985061281393,40.6584653918625
"PT20180152002",2,"HH20180152","PT2018015200",-11.3026165111847,-26.0696444185785,28.4203100955908
"PT20180152004",4,"HH20180152","PT2018015200",-0.612370269985534,-15.0066705894102,32.779562358643
"PT20180153001",1,"HH20180153","PT2018015300",2.61992814285714,-14.1400728973142,27.8946424580668
"PT20180153002",2,"HH20180153","PT2018015300",-4.0323572979523,-14.5407058559273,43.8575657355075
"PT20180153004",4,"HH20180153","PT2018015300",-4.66633120628844,-14.0148592999638,48.021831231865
"PT20180154001",1,"HH20180154","PT2018015400",2.61746464285714,-14.1427387819504,27.8934404849499
"PT20180154002",2,"HH20180154","PT2018015400",-4.03182525347949,-14.5535030120391,43.8097931055453
"PT20180154004",4,"HH20180154","PT2018015400",-4.66551458712673,-14.0105452690157,48.0357951790699
"PT20180155001",1,"HH20180155","PT2018015500",3.25105713021338,-9.93095829174225,37.3994240348096
"PT20180155004",4,"HH20180155","PT2018015500",-4.70067641081004,-13.9761327715394,48.298830350049
"PT20180156001",1,"HH20180156","PT2018015600",-0.178742922668647,-16.2420902743796,28.6722817179991
"PT20180156002",2,"HH20180156","PT2018015600",-4.10505697194171,-9.49587307460153,66.111912024452
"PT20180156012",2,"HH20180156","PT2018015601",-4.09554891397637,-8.4920237768259,71.459902169971
"PT20180156014",4,"HH20180156","PT2018015601",-5.19204510565164,-17.5547590312772,37.2535546125254
"PT20180157001",1,"HH20180157","PT2018015700",-6.17205343436768,-17.8510195809994,39.1447903080178
"PT20180157002",2,"HH20180157","PT2018015700",-1.69087801890103,-15.0840864717833,35.2471554126639
"PT20180157004",4,"HH20180157","PT2018015700",-1.11038486262884,-17.6723062841927,27.2210780329696
"PT20180159001",1,"HH20180159","PT2018015900",0.866823209218386,-14.913504431103,29.6754058036556
"PT20180159002",2,"HH20180159","PT2018015900",-1.65483747918947,-14.73277330518,36.1852058920425
"PT20180159004",4,"HH20180159","PT2018015900",-1.14168027261019,-17.5023531779572,27.6770901367127
"PT20180160001",1,"HH20180160","PT2018016000",-9.41684186299889,-28.0957267200741,20.3239970163002
"PT20180160002",2,"HH20180160","PT2018016000",-5.50911147469591,-11.3492042534547,63.4722843007246
"PT20180160004",4,"HH20180160","PT2018016000",0.42122850616044,-13.8325300476702,33.4823378788547
"PT20180161001",1,"HH20180161","PT2018016100",-4.07143207385685,-22.1482311209296,23.0633447530366
"PT20180161002",2,"HH20180161","PT2018016100",-0.73300015131372,-4.48085045857555,75.7499242924962
"PT20180161004",4,"HH20180161","PT2018016100",-3.69644619409157,-15.9604930938897,38.0379010411291
"PT20180162001",1,"HH20180162","PT2018016200",1.02532587797284,-12.2025747298492,36.5774051284364
"PT20180162004",4,"HH20180162","PT2018016200",-4.0248621926406,-17.009533545156,35.7169332752501
"PT20180162011",1,"HH20180162","PT2018016201",1.02532587797284,-12.2025747298492,36.5774051284364
"PT20180162012",2,"HH20180162","PT2018016201",-1.83817457713642,-16.1197684121423,32.702731392311
"PT20180163001",1,"HH20180163","PT2018016300",2.61836814285714,-14.1385676178193,27.9011648134354
"PT20180163002",2,"HH20180163","PT2018016300",-0.731243821286926,-18.5702153556088,24.5388193687488
"PT20180164001",1,"HH20180164","PT2018016400",2.64622064285714,-14.1410195609131,27.8404833545086
"PT20180164002",2,"HH20180164","PT2018016400",-4.00500107116056,-14.5452501642952,43.7513860887824
"PT20180164004",4,"HH20180164","PT2018016400",-4.64083898101867,-13.9981195936509,47.9952063301257
"PT20180165001",1,"HH20180165","PT2018016500",-6.20291891447102,-17.8398460715515,39.2742053721973
"PT20180165002",2,"HH20180165","PT2018016500",-1.7278567949103,-15.0683305158561,35.3890817057541
"PT20180165004",4,"HH20180165","PT2018016500",-1.13811066601306,-17.6646911771255,27.2938990566284
"PT20180166001",1,"HH20180166","PT2018016600",2.60927464285714,-14.1392739261505,27.9175684940259
"PT20180166002",2,"HH20180166","PT2018016600",-0.42892811111288,-3.64315690021397,78.8945520500952
"PT20180167001",1,"HH20180167","PT2018016700",-6.23071835402064,-17.8371783561718,39.3665507995835
"PT20180167002",2,"HH20180167","PT2018016700",-1.75649561293204,-15.0647059831901,35.4743194363667
"PT20180167004",4,"HH20180167","PT2018016700",-1.1661494970547,-17.6623434392742,27.3553999917997
"PT20180168001",1,"HH20180168","PT2018016800",-7.61998669424111,-22.9689335286414,28.1098207925852
"PT20180169001",1,"HH20180169","PT2018016900",2.62737714285714,-14.1381329326873,27.8843201204477
"PT20180169002",2,"HH20180169","PT2018016900",-4.0304447253525,-14.5319377558083,43.882831035526
"PT20180169004",4,"HH20180169","PT2018016900",-4.65130464716866,-13.9787799729652,48.1089865581737
"PT20180170001",1,"HH20180170","PT2018017000",-12.3515828044659,-30.4355490620154,20.60910041659
"PT20180170002",2,"HH20180170","PT2018017000",-7.56408770894186,-18.0643045524942,42.7829706406037
"PT20180170004",4,"HH20180170","PT2018017000",-2.53311874642147,-16.6391657249459,32.9656923373709
"PT20180171001",1,"HH20180171","PT2018017100",-4.0818880131693,-22.1493912500022,23.0790907784102
"PT20180171002",2,"HH20180171","PT2018017100",-3.85860543840581,-14.6140565928302,43.0304441549055
"PT20180171004",4,"HH20180171","PT2018017100",-3.70498345620542,-15.9643874191348,38.049880857593
"PT20180173001",1,"HH20180173","PT2018017300",0.128176565686915,-11.7192736846284,40.5669727735885
"PT20180173002",2,"HH20180173","PT2018017300",0.767104142857143,-13.1982769891891,34.3853109204746
"PT20180174001",1,"HH20180174","PT2018017400",0.162306210660022,-11.7192555812262,40.4668700786531
"PT20180174002",2,"HH20180174","PT2018017400",1.8785926896369,-11.5727539786714,36.1898223583593
"PT20180174004",4,"HH20180174","PT2018017400",-3.91762362362332,-17.7475799357476,33.2982201420103
"PT20180175001",1,"HH20180175","PT2018017500",0.846480013060358,-14.9149196652318,29.7154480685349
"PT20180175002",2,"HH20180175","PT2018017500",-0.777994461385673,-18.5810974681005,24.5999056478664
"PT20180175004",4,"HH20180175","PT2018017500",-1.16048211082888,-17.5057455702403,27.7072972191426
"PT20180176001",1,"HH20180176","PT2018017600",2.47218314285714,-14.1411963347893,28.186301617519
"PT20180176012",2,"HH20180176","PT2018017601",-4.178839937656,-14.5460987392338,44.3226462538087
"PT20180176014",4,"HH20180176","PT2018017601",-4.80035081698821,-14.0035831132087,48.5544299679432
"PT20180177001",1,"HH20180177","PT2018017700",-6.18858487852979,-17.8369707046943,39.2407687990127
"PT20180177002",2,"HH20180177","PT2018017700",-1.71442747356408,-15.064423854306,35.3655264155217
"PT20180177004",4,"HH20180177","PT2018017700",-1.13134422479581,-17.6615275075451,27.2876627475412
"PT20180178001",1,"HH20180178","PT2018017800",2.62003214285714,-14.1380527083847,27.8990439552728
"PT20180178012",2,"HH20180178","PT2018017801",-4.03415365774956,-14.532254177309,43.8938980094955
"PT20180179001",1,"HH20180179","PT2018017900",2.62263864285714,-14.1394240111789,27.8907558761511
"PT20180179002",2,"HH20180179","PT2018017900",-4.03083637388003,-14.5365958065021,43.867353345786
"PT20180179004",4,"HH20180179","PT2018017900",-4.65539418549639,-13.9869938073827,48.091557783006
"PT20180180001",1,"HH20180180","PT2018018000",-3.26910331579712,-10.7044236302112,56.4545398585194
"PT20180180002",2,"HH20180180","PT2018018000",-7.19843023364544,-12.948147759805,63.5165089207282
"PT20180180004",4,"HH20180180","PT2018018000",-6.15907064319098,-17.617083903972,39.8856533960825
"PT20180180012",2,"HH20180180","PT2018018001",-5.23624045542412,-9.30091247573263,73.1071736897696
"PT20180181001",1,"HH20180181","PT2018018100",-13.9387395987261,-34.5948515510051,15.679240140734
"PT20180181002",2,"HH20180181","PT2018018100",-5.65103117983337,-15.8570148142339,44.4575618716732
"PT20180181004",4,"HH20180181","PT2018018100",-3.06735755835667,-11.0502092952335,54.1054812841499
"PT20180182001",1,"HH20180182","PT2018018200",0.15093340537195,-11.7192343637159,40.5002844208924
"PT20180182044",4,"HH20180182","PT2018018204",-1.23498080619376,-19.5733766306551,23.3691890906228
"PT20180183001",1,"HH20180183","PT2018018300",0.118373108967174,-11.7192445885876,40.595888857171
"PT20180183002",2,"HH20180183","PT2018018300",1.82281377648499,-11.57239144799,36.335347697013
"PT20180183004",4,"HH20180183","PT2018018300",-1.26685866745212,-19.5739659856123,23.4226528601743
"PT20180184001",1,"HH20180184","PT2018018400",-7.50993920589634,-22.9722359219383,27.8637172636719
"PT20180184002",2,"HH20180184","PT2018018400",0.445867642857143,-13.2171652735283,35.1378064370069
"PT20180184004",4,"HH20180184","PT2018018400",-1.52824736454597,-19.6748640340137,23.6702800323066
"PT20180185001",1,"HH20180185","PT2018018500",-3.22729169550033,-10.7052550474198,56.2752537701506
"PT20180185002",2,"HH20180185","PT2018018500",-7.30882439079618,-12.944738287499,64.0767459964825
"PT20180186001",1,"HH20180186","PT2018018600",2.61288214285714,-14.1407212435547,27.907117950352
"PT20180187001",1,"HH20180187","PT2018018700",-6.20712182693684,-17.8318667282133,39.3132991506326
"PT20180187002",2,"HH20180187","PT2018018700",-1.73457035340328,-15.0574892579008,35.4382142594119
"PT20180189001",1,"HH20180189","PT2018018900",0.771750245634497,-14.9151514664544,29.8752801103852
"PT20180189002",2,"HH20180189","PT2018018900",-0.838799277340974,-18.5806048658616,24.7103817806993
"PT20180189004",4,"HH20180189","PT2018018900",-3.85682789608419,-15.1722419929399,41.0930234732503
"PT20180190001",1,"HH20180190","PT2018019000",-3.2484096727936,-10.7042271927397,56.368446923611
"PT20180190002",2,"HH20180190","PT2018019000",-7.33972098761422,-12.9401983037508,64.2531549956655
"PT20180190004",4,"HH20180190","PT2018019000",-6.29036399970084,-17.6072113367656,40.3211945828906
"PT20180192001",1,"HH20180192","PT2018019200",0.152137489000311,-11.7192356337583,40.4967484250188
"PT20180192002",2,"HH20180192","PT2018019200",-0.603378763315589,-4.21410110329962,76.557416801384
"PT20180192004",4,"HH20180192","PT2018019200",-3.94911778119783,-17.7452440224136,33.3834665941678
"PT20180193001",1,"HH20180193","PT2018019300",0.123301926083916,-11.719316597113,40.581161640959
"PT20180193002",2,"HH20180193","PT2018019300",1.83641021996974,-11.5741691679235,36.2949125250968
"PT20180193004",4,"HH20180193","PT2018019300",-3.97454775323273,-17.7551464593149,33.4192077224495
"PT20180194001",1,"HH20180194","PT2018019400",-4.07269455877236,-22.148689627225,23.0646005454822
"PT20180194002",2,"HH20180194","PT2018019400",-3.84560438533429,-14.6131114461019,42.9919128615297
"PT20180194004",4,"HH20180194","PT2018019400",-3.69559497736567,-15.9618807624233,38.0310956554047
"PT20180196001",1,"HH20180196","PT2018019600",0.949185459227272,-12.2116309909396,36.7515238259911
"PT20180196002",2,"HH20180196","PT2018019600",-1.96668989874233,-16.1200942438826,33.0129175956318
"PT20180196004",4,"HH20180196","PT2018019600",-4.10283887834993,-17.0257546515268,35.8776126504432
"PT20180197001",1,"HH20180197","PT2018019700",0.7361775257089,-14.9159790006487,29.9499314086818
"PT20180198001",1,"HH20180198","PT2018019800",0.963515927352145,-12.2084305080737,36.7230964744195
"PT20180198002",2,"HH20180198","PT2018019800",-1.95030894407545,-16.1199808320164,32.9733959508788
"PT20180198004",4,"HH20180198","PT2018019800",-5.03236283121546,-15.4029578671382,44.0462523814732
"PT20180199001",1,"HH20180199","PT2018019900",0.838385793415722,-14.9143949044093,29.7340596196696
"PT20180199002",2,"HH20180199","PT2018019900",-0.772874894006751,-18.5805607753821,24.5918378273201
"PT20180199044",4,"HH20180199","PT2018019904",-1.13046921235548,-17.504712802577,27.6488911265133
"PT20180200001",1,"HH20180200","PT2018020000",0.953150690869924,-12.2210068249853,36.7133545415682
"PT20180200002",2,"HH20180200","PT2018020000",-1.95146674275534,-16.1203817548682,32.9751097739823
"PT20180200044",4,"HH20180200","PT2018020004",-5.0296089550573,-15.438014444738,43.9096291198262
"PT20180202001",1,"HH20180202","PT2018020200",0.16618455426749,-11.7191912334464,40.4557139970302
"PT20180202002",2,"HH20180202","PT2018020200",1.87257822936728,-11.5708314842309,36.2109348855601
"PT20180202004",4,"HH20180202","PT2018020200",-3.9292604497231,-17.7383992640627,33.3530933705998
"PT20180204001",1,"HH20180204","PT2018020400",-7.54062537343431,-22.9748216821244,27.923440135068
"PT20180204002",2,"HH20180204","PT2018020400",0.414446642857143,-13.2173951809315,35.217023381669
"PT20180204004",4,"HH20180204","PT2018020400",-1.5562775092023,-19.6750584264004,23.7186658297163
"PT20180207001",1,"HH20180207","PT2018020700",0.736762629693354,-14.9159205266968,29.9488124402872
"PT20180207002",2,"HH20180207","PT2018020700",-0.890427711205366,-18.5813275645197,24.8022120595116
"PT20180207004",4,"HH20180207","PT2018020700",-3.9534235295697,-15.1781825041136,41.3711566311186
"PT20180208001",1,"HH20180208","PT2018020800",0.969928141075037,-12.2046322192536,36.7173688526265
"PT20180209001",1,"HH20180209","PT2018020900",0.829877375518359,-14.915631376575,29.7492585493931
"PT20180209002",2,"HH20180209","PT2018020900",-0.780215832291446,-18.5811950431562,24.6036902203383
"PT20180210001",1,"HH20180210","PT2018021000",-3.2292242632397,-10.7052650715066,56.2833102000945
"PT20180210002",2,"HH20180210","PT2018021000",-5.91838529335985,-14.7878717372583,49.5607332845042
"PT20180210004",4,"HH20180210","PT2018021000",-6.16885270186257,-17.6173057951428,39.9147038798548
"PT20180212001",1,"HH20180212","PT2018021200",2.50957764285714,-14.1399484964688,28.1143761774679
"PT20180212002",2,"HH20180212","PT2018021200",-4.14284758204491,-14.5401086894117,44.2247837050439
"PT20180212004",4,"HH20180212","PT2018021200",-4.76226871445963,-13.9923200479279,48.4596494634064
"PT20180213001",1,"HH20180213","PT2018021300",-6.1969270350688,-17.8404964546771,39.2540822643757
"PT20180213002",2,"HH20180213","PT2018021300",-1.73512108416767,-15.0695453842239,35.4044528476905
"PT20180213004",4,"HH20180213","PT2018021300",-1.14831217309919,-17.6646755449216,27.3143260766926
"PT20180214001",1,"HH20180214","PT2018021400",-4.0698237723887,-22.1482655339682,23.0604928992938
"PT20180214002",2,"HH20180214","PT2018021400",-3.84457940681219,-14.6125327557875,42.990656127481
"PT20180214004",4,"HH20180214","PT2018021400",-3.69609748421961,-15.9613537283458,38.0341898849124
"PT20180215001",1,"HH20180215","PT2018021500",-3.1466167342826,-10.7069681364326,55.9306195263039
"PT20180215002",2,"HH20180215","PT2018021500",-5.88366455362742,-14.7882974146388,49.4280991268795
"PT20180215044",4,"HH20180215","PT2018021504",-6.18474931104034,-17.6165147483823,39.965843243466
"PT20180216001",1,"HH20180216","PT2018021600",-6.19164495141109,-17.8496029147442,39.2080819065123
"PT20180216002",2,"HH20180216","PT2018021600",-1.70617756966971,-15.0827247213702,35.29079838965
"PT20180216004",4,"HH20180216","PT2018021600",-1.11859254714691,-17.6716786922968,27.2388766025153
"PT20180217001",1,"HH20180217","PT2018021700",0.787801683547267,-14.9153357926611,29.8402936065158
"PT20180217002",2,"HH20180217","PT2018021700",-0.817982546287517,-18.5810549806396,24.6719075420751
"PT20180217004",4,"HH20180217","PT2018021700",-1.17192659899239,-17.506208451334,27.7294437403969
"PT20180218001",1,"HH20180218","PT2018021800",3.37013643386057,-9.93574959700513,37.072395438354
"PT20180218004",4,"HH20180218","PT2018021800",-4.58477667754019,-14.0026166486666,47.775335685275
"PT20180219001",1,"HH20180219","PT2018021900",2.60059064285714,-14.1420989305334,27.9283330323881
"PT20180219002",2,"HH20180219","PT2018021900",-4.04941822809282,-14.5504315068584,43.8786875325643
"PT20180219004",4,"HH20180219","PT2018021900",-4.68834368669494,-14.0071589914676,48.1318509895894
"PT20180220001",1,"HH20180220","PT2018022000",0.946433659492641,-12.2171412718944,36.7425208448797
